latitude,longitude,employee_count,pickup_point,bus_number
39.999404266666666,32.63128686666666,3.0,35.0,9
39.999404266666666,32.63128686666666,3.0,35.0,9
39.999404266666666,32.63128686666666,3.0,35.0,9
39.93892554999999,32.8829361,2.0,36.0,9
39.93892554999999,32.8829361,2.0,36.0,9
39.946613925,32.6067542,4.0,37.0,9
39.946613925,32.6067542,4.0,37.0,9
39.946613925,32.6067542,4.0,37.0,9
39.946613925,32.6067542,4.0,37.0,9
39.85932255,32.64264395,2.0,38.0,43
39.85932255,32.64264395,2.0,38.0,43
39.9741982,32.8546357,4.0,39.0,43
39.9741982,32.8546357,4.0,39.0,43
39.9741982,32.8546357,4.0,39.0,43
39.9741982,32.8546357,4.0,39.0,43
39.88492655,32.81935825,2.0,40.0,43
39.88492655,32.81935825,2.0,40.0,43
39.95004905,32.8649994,2.0,41.0,43
39.95004905,32.8649994,2.0,41.0,43
39.96619605555556,32.60146135555556,9.0,42.0,43
39.96619605555556,32.60146135555556,9.0,42.0,43
39.96619605555556,32.60146135555556,9.0,42.0,43
39.96619605555556,32.60146135555556,9.0,42.0,43
39.96619605555556,32.60146135555556,9.0,42.0,43
39.96619605555556,32.60146135555556,9.0,42.0,43
39.96619605555556,32.60146135555556,9.0,42.0,43
39.96619605555556,32.60146135555556,9.0,42.0,43
39.96619605555556,32.60146135555556,9.0,42.0,43
39.97430883333334,32.647658033333336,3.0,43.0,43
39.97430883333334,32.647658033333336,3.0,43.0,43
39.97430883333334,32.647658033333336,3.0,43.0,43
39.9669066,32.79737965,2.0,44.0,43
39.9669066,32.79737965,2.0,44.0,43
39.9825275,32.83275103333333,3.0,45.0,43
39.9825275,32.83275103333333,3.0,45.0,43
39.9825275,32.83275103333333,3.0,45.0,43
39.99389486666667,32.86989726666666,3.0,46.0,43
39.99389486666667,32.86989726666666,3.0,46.0,43
39.99389486666667,32.86989726666666,3.0,46.0,43
39.88976325,32.68010635,2.0,47.0,43
39.88976325,32.68010635,2.0,47.0,43
39.97037644736843,32.584734810526314,19.0,48.0,27
39.97037644736843,32.584734810526314,19.0,48.0,27
39.97037644736843,32.584734810526314,19.0,48.0,27
