pickup_point,latitude,longitude,employee_count,bus_number
213.0,39.976402,32.78000900000001,2.0,39
214.0,39.96958115,32.94397335,2.0,39
215.0,39.8970734,32.691308,1.0,39
216.0,39.9633423,32.6136146,1.0,12
217.0,39.899684,32.9166357,1.0,12
218.0,40.0223421,32.5222786,10.0,45
219.0,39.94233157777777,32.64857374444445,9.0,45
220.0,39.9862099,32.8023371,1.0,12
221.0,39.82813885,32.71525825,2.0,12
222.0,39.94817303636364,32.619377863636366,11.0,45
223.0,40.2107414,32.7724813,1.0,12
224.0,39.9878509,32.598078380000004,5.0,12
225.0,39.9753255,32.9096737,1.0,12
226.0,39.9235362,32.850263,1.0,12
227.0,40.01364837777778,32.53470406666666,9.0,25
228.0,39.99517222,32.52337792,5.0,25
229.0,39.91856500000001,32.801918,2.0,25
230.0,39.98874203333333,32.587483516666666,6.0,25
231.0,39.8570265,32.8314103,1.0,25
232.0,39.93757189999999,32.8803594,1.0,25
233.0,39.8346129,32.6051351,5.0,25
234.0,39.9784584,32.6233067,2.0,25
235.0,39.895521,32.7287525,1.0,25
236.0,39.900561,32.6447001,1.0,25
237.0,40.0140001,32.8097661,1.0,46
238.0,39.967316,32.8593758,1.0,46
239.0,39.8451842,32.9212265,3.0,46
240.0,39.9803596,32.6573743,2.0,46
241.0,39.9747719,32.6921729,1.0,46
242.0,39.88866475,32.8890757,2.0,46
243.0,40.03098800000001,32.378292,1.0,46
244.0,39.9836941,32.69376615,2.0,46
245.0,39.9708711,32.8962847,1.0,46
246.0,39.8131225,32.5773121,1.0,46
247.0,39.9581957,32.9634852,2.0,46
248.0,39.96631396666667,32.8035568,3.0,46
249.0,39.92692865,32.825597,2.0,46
250.0,39.9779282,32.933983,1.0,46
251.0,40.03584535,32.766950300000005,2.0,46
252.0,39.9287212,32.8766602,1.0,46
253.0,39.97555719,32.6109714,10.0,5
254.0,39.94549523750001,32.58592912499999,16.0,5
255.0,40.075123,31.39928799999999,1.0,30
256.0,39.8897009,32.7520139,1.0,30
257.0,39.8815354,32.8680497,1.0,30
258.0,39.9120322,32.9114296,1.0,30
259.0,39.9207034,32.8862487,1.0,30
260.0,39.9572589,32.6475256,1.0,30
261.0,39.9931643,32.6429933,2.0,30
262.0,39.9947425,32.8230541,1.0,30
263.0,40.0177946,32.3292369,1.0,30
264.0,39.974324,32.824171,1.0,30
265.0,40.0321634,32.8850429,1.0,30
266.0,39.9555416,32.707474,1.0,30
267.0,39.9157116,32.9219309,1.0,30
268.0,39.97050725,32.5568121,2.0,30
269.0,39.8850339,32.6594463,1.0,30
270.0,39.949195675,32.5601034,4.0,30
271.0,39.85444759999998,32.42407400000001,31.0,17
272.0,39.8801783,32.67473835,2.0,30
273.0,39.9332126,32.85952265294119,17.0,24
274.0,39.98351,32.6494747,1.0,49
275.0,39.95126228181818,32.56508008181818,11.0,24
276.0,39.96537046666666,32.78593056666667,3.0,49
277.0,39.793394,32.806337,1.0,49
278.0,40.0005267,32.9024466,1.0,49
279.0,39.8139783,32.6560016,1.0,49
280.0,40.009266,32.8540183,4.0,49
281.0,40.0099325,32.5011463,1.0,49
282.0,40.0052698,32.50740245,2.0,49
283.0,39.8778105,32.8211999,1.0,49
284.0,39.95484570000001,32.5411368,1.0,49
285.0,39.9796736,32.591001,2.0,49
286.0,39.9314075,32.611194590909086,11.0,16
287.0,39.958447,32.9380603,1.0,49
288.0,39.88099034999999,32.74948965,2.0,49
289.0,39.896249,32.860667,1.0,49
290.0,39.5776674,32.1476388,1.0,3
291.0,39.8612552,32.541087,1.0,3
292.0,39.957323,32.8750852,1.0,3
293.0,39.7887308,32.8295055,1.0,3
294.0,39.9300463,32.6023084,2.0,3
295.0,39.9928663,32.7096666,1.0,3
296.0,39.585047,32.144701,1.0,3
297.0,39.94935866666667,32.653586100000005,3.0,3
298.0,39.95155821666666,32.60870906666667,6.0,3
299.0,40.0103366,32.6616518,1.0,3
300.0,39.9575834,32.8579616,1.0,3
301.0,39.9665578,32.7935168,1.0,3
302.0,39.9790306,32.7211374,1.0,3
303.0,40.0483827,32.8902354,1.0,3
304.0,39.8884403,32.7897809,1.0,3
305.0,39.7521756,32.7674915,1.0,3
306.0,39.97060949999999,32.935475,1.0,13
307.0,39.9753268,32.7128421,1.0,13
308.0,39.731614,32.538925,1.0,13
309.0,39.9835052,32.64030315,2.0,13
310.0,39.9698979,32.6342088,1.0,13
311.0,40.0394137,32.8454274,1.0,13
312.0,40.0347414,32.564986,2.0,13
313.0,39.9104081,32.7637933,2.0,13
314.0,39.95016653333334,32.59077595,6.0,13
315.0,40.0129334,32.740723,1.0,13
316.0,39.962468,32.6914019,1.0,13
317.0,39.9581808,32.7161295,1.0,13
318.0,39.9724559,32.9608261,1.0,13
319.0,39.973761,32.604385,1.0,13
320.0,39.890877,32.819762,1.0,35
321.0,39.9283075,32.5712101,2.0,35
322.0,39.9283587,32.5803981,1.0,35
323.0,39.9907557,32.7953016,1.0,35
324.0,39.98910926666667,32.84848753333333,3.0,35
325.0,39.8661732,32.6919158,1.0,35
326.0,39.9980789,32.59603746666667,3.0,35
327.0,39.9439402,32.89248715,2.0,35
328.0,39.9920054,32.7317414,1.0,35
329.0,39.9651506,32.9138078,1.0,35
330.0,39.9922129,32.6613215,1.0,35
331.0,40.0029489,32.8318264,1.0,35
332.0,39.9692508,32.809725,1.0,35
333.0,40.0175307,32.53893105,2.0,35
